เลขที่|ห้อง|ชั้น|พื้นที่|วันที่โอน
68/1|208|2|40.82|
68/2|207|2|34.69|01/29/14
68/3|206|2|34.61|05/02/13
68/4|205|2|47.73|02/15/13
68/5|204|2|69.73|07/29/16
68/6||2|34.86|
68/7||2|37.63|
68/8|201|2|71.92|07/18/14
68/9||3|63.3|
68/10|312|3-4|68.7|04/27/15
68/11||3|69.63|
68/12|310|3|34.54|06/02/14
68/13||3|46.73|
68/14||3|40.82|
68/15||3|34.69|
68/16|306|3|34.61|03/29/13
68/17||3|47.73|
68/18|304|3|69.73|09/30/14
68/19||3|34.86|
68/20||3|37.63|
68/21|301|3|71.92|08/05/16
68/22||4|63.3|
68/23|411|4|69.63|07/25/14
68/24|410|4|34.54|
68/25|409|4|46.73|09/01/16
68/26|408|4|40.82|07/27/12
68/27||4|34.69|
68/28||4|34.61|
68/29||4|47.73|
68/30||4|69.73|
68/31|403|4|34.86|02/03/14
68/32|402|4|37.63|08/30/13
68/33|401|4|71.92|06/26/14
68/34||5|63.3|
68/35||5|68.7|
68/36|511|5|69.63|08/04/14
68/37||5|34.54|
68/38||5|46.73|
68/39|508|5|40.82|03/26/13
68/40||5|34.69|
68/41|506|5|34.61|03/29/13
68/42||5|47.73|
68/43||5|69.73|
68/44|503|5|34.86|10/04/13
68/45||5|37.63|
68/46|501|5|71.92|
68/47||6|63.3|
68/48||6|69.94|
68/49||6|34.22|
68/50||6|46.54|
68/51|607|6|40.84|07/27/12
68/52|606|6|69.33|10/02/14
68/53|605|6|47.73|02/17/15
68/54||6|69.73|
68/55|603|6|34.86|07/05/13
68/56||6|37.63|
68/57|601|6|71.92|09/01/14
68/58||7-8|122.07|
68/59||7-8|68.67|
68/60||7|69.94|
68/61||7|34.22|
68/62||7|46.54|
68/63||7|40.84|
68/64||7|69.33|
68/65||7|47.73|
68/66|704|7|69.73|05/08/15
68/67||7|34.86|
68/68||7|37.63|
68/69||7|71.92|
68/70|810|8|67.06|06/30/14
68/71|809|8|32.51|11/08/13
68/72||8|42.01|
68/73|807|8|40.84|09/06/12
68/74||8|69.33|
68/75||8|47.73|
68/76||8|69.73|
68/77|803|8|34.86|04/21/14
68/78||8|37.63|
68/79|801|8|71.92|04/02/15
